ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,Year,Month,Day,Hour,Minute,Second,Label
38201,326,5,4,0,2024-01-01 00:15:40,2,115,22,5632,0,0,5,2024,1,1,0,15,40,0
27917,37,5,1,0,2024-01-01 21:34:22,3,85,199,14302,0,0,5,2024,1,1,21,34,22,0
19049,252,2,4,0,2024-01-02 17:38:56,2,155,128,8117,0,0,2,2024,1,2,17,38,56,0
1207,133,4,2,0,2024-01-02 11:48:30,2,115,161,16457,0,0,4,2024,1,2,11,48,30,0
71197,375,8,0,1,2024-01-03 03:39:24,3,141,198,16304,0,0,8,2024,1,3,3,39,24,0
19528,8,3,1,0,2024-01-02 21:29:28,3,71,186,16983,0,0,3,2024,1,2,21,29,28,0
61008,21,9,1,0,2024-01-01 13:01:00,2,171,190,2654,0,0,9,2024,1,1,13,1,0,0
52649,372,2,0,0,2024-01-01 05:22:19,3,158,170,18043,0,0,2,2024,1,1,5,22,19,0
37382,58,8,1,0,2024-01-01 16:04:16,2,100,13,8309,0,0,8,2024,1,1,16,4,16,0
64608,163,1,2,0,2024-01-02 17:38:18,2,265,84,14247,0,0,1,2024,1,2,17,38,18,0
63289,53,8,1,0,2024-01-01 12:44:34,2,113,197,3035,0,0,8,2024,1,1,12,44,34,0
69564,31,8,1,0,2024-01-01 16:45:18,2,75,128,14174,0,1,8,2024,1,1,16,45,18,0
78232,191,1,2,0,2024-01-01 13:13:30,2,188,25,2001,0,0,1,2024,1,1,13,13,30,0
20317,396,7,0,0,2024-01-03 16:27:27,2,208,41,2456,0,0,7,2024,1,3,16,27,27,0
51210,259,3,4,0,2024-01-03 10:55:43,0,195,54,3936,0,0,3,2024,1,3,10,55,43,0
68258,351,1,0,0,2024-01-02 03:56:50,2,118,14,19048,0,0,1,2024,1,2,3,56,50,0
48538,336,7,4,0,2024-01-01 10:43:28,2,83,187,9572,0,0,7,2024,1,1,10,43,28,0
7394,478,3,3,0,2024-01-01 21:55:08,2,259,96,3679,0,0,3,2024,1,1,21,55,8,0
69040,129,10,2,0,2024-01-03 23:36:08,2,258,55,13221,0,0,10,2024,1,3,23,36,8,0
80965,410,4,0,1,2024-01-02 17:42:02,2,236,70,10819,0,0,4,2024,1,2,17,42,2,0
84712,309,1,4,0,2024-01-01 14:01:40,2,289,63,3687,0,0,1,2024,1,1,14,1,40,0
48329,481,3,3,0,2024-01-02 09:36:56,3,265,133,6846,1,0,8,2024,1,2,9,36,56,0
72905,300,7,4,0,2024-01-01 00:06:12,2,216,16,9090,0,0,7,2024,1,1,0,6,12,0
83149,77,8,1,0,2024-01-02 23:19:15,2,223,171,445,0,0,8,2024,1,2,23,19,15,0
37877,14,8,1,0,2024-01-02 09:10:18,1,154,120,3370,0,0,8,2024,1,2,9,10,18,0
25158,282,4,4,0,2024-01-03 12:19:48,2,215,87,907,0,0,4,2024,1,3,12,19,48,0
62731,90,9,1,0,2024-01-02 04:29:00,2,226,193,10546,0,0,9,2024,1,2,4,29,0,0
5618,309,9,4,0,2024-01-02 11:02:53,2,250,169,7335,0,0,9,2024,1,2,11,2,53,0
13090,198,2,2,0,2024-01-02 22:48:24,2,107,116,17454,0,0,2,2024,1,2,22,48,24,0
13251,320,4,4,0,2024-01-03 12:19:34,2,287,66,7418,0,0,4,2024,1,3,12,19,34,0
65562,255,6,4,0,2024-01-02 10:16:39,2,127,10,4735,0,0,6,2024,1,2,10,16,39,0
47152,118,10,2,0,2024-01-02 12:50:21,2,149,140,2912,0,0,10,2024,1,2,12,50,21,0
50016,394,6,0,0,2024-01-03 09:09:37,3,114,81,13865,0,0,6,2024,1,3,9,9,37,0
92286,454,4,3,0,2024-01-01 12:34:53,0,216,44,6026,0,0,3,2024,1,1,12,34,53,0
79835,221,5,2,0,2024-01-02 01:09:25,2,254,47,12034,0,0,5,2024,1,2,1,9,25,0
86298,348,3,4,0,2024-01-02 20:23:28,2,144,129,9920,0,0,3,2024,1,2,20,23,28,0
70846,175,7,2,0,2024-01-03 14:18:02,2,104,65,15279,0,0,7,2024,1,3,14,18,2,0
99224,112,5,2,0,2024-01-01 12:47:35,0,186,111,13060,0,0,5,2024,1,1,12,47,35,0
46055,126,9,2,0,2024-01-01 15:34:11,3,85,46,11628,0,1,10,2024,1,1,15,34,11,1
79389,135,3,2,0,2024-01-02 17:32:25,2,266,22,12564,0,0,3,2024,1,2,17,32,25,0
48363,48,10,1,0,2024-01-02 03:01:33,3,153,188,12249,0,1,10,2024,1,2,3,1,33,0
30476,80,5,1,0,2024-01-02 03:54:34,2,235,19,9265,0,0,5,2024,1,2,3,54,34,0
23999,138,8,2,0,2024-01-01 13:22:29,3,268,98,16009,0,0,8,2024,1,1,13,22,29,0
35266,93,8,1,0,2024-01-02 13:52:36,2,208,126,10011,0,0,8,2024,1,2,13,52,36,0
43093,105,7,2,0,2024-01-03 15:49:07,2,103,136,17156,0,0,7,2024,1,3,15,49,7,0
55601,385,9,0,0,2024-01-02 03:40:47,2,109,109,19365,0,0,9,2024,1,2,3,40,47,0
1291,75,10,1,0,2024-01-03 10:34:22,2,294,138,10915,0,0,10,2024,1,3,10,34,22,0
43077,56,9,1,0,2024-01-03 15:00:52,2,220,108,352,0,0,9,2024,1,3,15,0,52,0
8322,195,6,2,0,2024-01-01 16:01:13,2,212,25,8875,0,0,6,2024,1,1,16,1,13,0
91939,359,1,0,0,2024-01-02 05:42:43,2,242,9,12250,0,0,1,2024,1,2,5,42,43,0
28799,456,8,3,0,2024-01-01 09:05:39,2,260,187,13681,0,0,8,2024,1,1,9,5,39,0
16604,422,1,0,0,2024-01-03 01:46:23,3,150,95,11857,0,0,1,2024,1,3,1,46,23,0
51654,358,5,0,1,2024-01-03 09:37:00,1,269,145,13500,0,0,5,2024,1,3,9,37,0,0
85918,305,6,4,0,2024-01-02 09:36:08,3,101,151,657,0,0,6,2024,1,2,9,36,8,0
2945,283,1,4,0,2024-01-02 10:46:30,2,265,148,11434,0,0,1,2024,1,2,10,46,30,0
81514,58,4,1,0,2024-01-02 13:49:51,2,265,166,3673,0,0,4,2024,1,2,13,49,51,0
3786,391,2,0,1,2024-01-01 12:19:29,2,143,19,19596,0,0,2,2024,1,1,12,19,29,0
98388,19,7,1,0,2024-01-03 03:54:03,0,152,196,3355,0,0,7,2024,1,3,3,54,3,0
31589,81,8,1,0,2024-01-01 15:16:00,3,209,79,10742,0,0,8,2024,1,1,15,16,0,0
531,484,2,3,0,2024-01-03 14:35:59,2,108,159,1466,0,0,2,2024,1,3,14,35,59,0
70429,442,1,3,0,2024-01-01 09:33:49,0,285,88,17550,0,0,1,2024,1,1,9,33,49,0
17590,271,4,4,1,2024-01-02 01:21:16,2,270,25,18559,0,0,4,2024,1,2,1,21,16,0
35822,430,5,3,0,2024-01-01 15:40:42,2,232,113,2988,0,1,5,2024,1,1,15,40,42,0
9991,361,6,0,0,2024-01-01 04:30:28,1,177,60,9568,0,0,6,2024,1,1,4,30,28,0
2530,118,3,2,0,2024-01-03 13:01:36,2,69,111,6750,0,0,3,2024,1,3,13,1,36,0
11080,120,6,2,0,2024-01-01 22:25:20,1,172,127,7572,0,0,6,2024,1,1,22,25,20,0
89706,373,4,0,0,2024-01-01 04:36:45,1,251,58,6070,0,0,4,2024,1,1,4,36,45,0
97852,268,5,4,0,2024-01-03 06:21:27,2,180,24,1790,0,0,5,2024,1,3,6,21,27,0
3910,324,5,4,0,2024-01-02 11:17:56,3,109,124,12691,0,0,5,2024,1,2,11,17,56,0
51235,21,4,1,0,2024-01-02 10:58:27,2,172,37,5233,0,0,9,2024,1,2,10,58,27,0
6993,396,5,0,0,2024-01-01 13:12:52,2,185,188,5760,0,0,5,2024,1,1,13,12,52,0
37799,429,1,3,1,2024-01-02 16:22:37,2,172,158,3765,0,0,1,2024,1,2,16,22,37,0
3924,106,1,2,0,2024-01-02 13:07:45,2,163,64,8985,0,0,1,2024,1,2,13,7,45,0
