ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,Year,Month,Day,Hour,Minute,Second
7,64,7,2,0,2024-01-01 14:01:37,2,134,131,3094,0,0,7,2024,1,1,14,1,37
11,71,4,2,0,2024-01-01 20:55:21,2,249,17,15403,0,0,4,2024,1,1,20,55,21
15,103,8,2,0,2024-01-02 16:15:50,3,281,70,2609,0,0,8,2024,1,2,16,15,50
17,84,4,2,0,2024-01-03 12:06:06,2,159,161,12339,0,0,4,2024,1,3,12,6,6
19,179,5,3,0,2024-01-03 02:29:55,2,160,141,14430,0,0,5,2024,1,3,2,29,55
26,193,5,3,0,2024-01-03 00:29:15,3,120,81,8145,0,0,5,2024,1,3,0,29,15
30,149,1,4,0,2024-01-02 21:59:48,2,262,97,12290,0,0,1,2024,1,2,21,59,48
32,106,5,2,0,2024-01-01 03:30:13,2,253,68,5303,0,0,8,2024,1,1,3,30,13
38,87,2,2,0,2024-01-03 03:09:12,3,232,102,10945,0,0,2,2024,1,3,3,9,12
42,123,6,2,0,2024-01-03 16:32:58,2,249,35,10355,0,0,6,2024,1,3,16,32,58
51,136,6,4,0,2024-01-02 17:20:59,2,263,123,11212,0,0,6,2024,1,2,17,20,59
58,190,5,3,0,2024-01-01 10:04:34,2,173,20,3651,0,1,3,2024,1,1,10,4,34
78,196,3,3,0,2024-01-03 22:40:16,2,205,124,18966,0,0,3,2024,1,3,22,40,16
79,180,7,3,0,2024-01-01 22:47:28,0,269,116,4507,0,0,7,2024,1,1,22,47,28
80,65,8,2,0,2024-01-02 17:45:27,2,189,23,19603,0,0,8,2024,1,2,17,45,27
81,139,5,4,0,2024-01-03 04:00:07,2,127,45,8776,0,0,5,2024,1,3,4,0,7
84,29,5,1,0,2024-01-03 01:37:35,0,225,101,5149,0,0,2,2024,1,3,1,37,35
96,151,10,4,0,2024-01-02 01:50:59,1,215,51,554,0,0,10,2024,1,2,1,50,59
97,118,3,2,0,2024-01-02 15:51:42,2,143,72,10795,0,0,3,2024,1,2,15,51,42
99,6,6,1,0,2024-01-03 21:24:55,2,243,172,12778,0,1,6,2024,1,3,21,24,55
102,73,2,2,0,2024-01-01 17:31:33,2,154,26,1624,0,0,2,2024,1,1,17,31,33
104,134,3,4,0,2024-01-03 12:25:21,2,177,144,6379,0,0,3,2024,1,3,12,25,21
114,142,5,4,0,2024-01-01 04:07:24,2,299,19,15106,0,0,4,2024,1,1,4,7,24
115,93,2,2,0,2024-01-02 12:16:02,3,176,118,15947,0,0,2,2024,1,2,12,16,2
123,125,5,2,0,2024-01-01 06:26:20,2,227,130,4143,0,0,5,2024,1,1,6,26,20
127,44,8,1,0,2024-01-01 06:47:57,2,232,121,5821,0,0,8,2024,1,1,6,47,57
132,2,3,1,0,2024-01-02 14:29:28,2,237,90,18431,0,0,3,2024,1,2,14,29,28
133,165,5,0,0,2024-01-03 16:43:13,1,193,148,12184,0,1,3,2024,1,3,16,43,13
134,1,8,1,0,2024-01-03 04:30:50,2,275,28,2824,0,0,8,2024,1,3,4,30,50
136,59,2,2,0,2024-01-02 00:32:42,2,160,35,6541,0,0,2,2024,1,2,0,32,42
137,12,8,1,0,2024-01-01 06:39:21,2,280,111,19453,0,0,8,2024,1,1,6,39,21
139,130,7,2,0,2024-01-03 12:43:19,1,166,84,9603,0,0,7,2024,1,3,12,43,19
140,59,7,2,0,2024-01-03 23:51:12,1,228,134,15347,0,0,7,2024,1,3,23,51,12
151,151,9,4,0,2024-01-03 04:15:58,3,264,77,17759,0,0,9,2024,1,3,4,15,58
154,13,8,1,0,2024-01-02 17:38:20,2,298,114,9067,0,0,6,2024,1,2,17,38,20
157,47,7,1,0,2024-01-03 17:28:57,3,136,139,10922,0,0,7,2024,1,3,17,28,57
164,179,4,3,0,2024-01-01 21:45:18,2,252,22,4432,0,0,4,2024,1,1,21,45,18
167,21,2,1,0,2024-01-02 21:08:09,1,182,185,6000,0,0,2,2024,1,2,21,8,9
183,68,7,2,0,2024-01-01 15:46:10,2,150,69,4107,0,0,7,2024,1,1,15,46,10
186,101,1,2,0,2024-01-02 02:37:36,2,198,41,10951,0,0,1,2024,1,2,2,37,36
188,19,9,1,0,2024-01-02 02:08:55,2,139,66,4261,0,0,9,2024,1,2,2,8,55
190,48,10,1,0,2024-01-03 13:24:20,1,196,170,18766,0,0,10,2024,1,3,13,24,20
196,99,2,2,0,2024-01-02 04:03:22,1,195,35,213,0,0,2,2024,1,2,4,3,22
198,194,5,3,0,2024-01-03 06:02:48,3,133,116,10594,0,1,5,2024,1,3,6,2,48
203,119,4,2,0,2024-01-02 03:44:16,1,172,33,36,0,0,4,2024,1,2,3,44,16
209,112,5,2,1,2024-01-01 15:25:45,2,260,141,18043,0,0,5,2024,1,1,15,25,45
215,85,5,2,0,2024-01-02 14:34:27,2,260,132,4526,0,0,5,2024,1,2,14,34,27
218,35,1,1,0,2024-01-03 09:54:26,2,211,23,9091,0,0,1,2024,1,3,9,54,26
219,72,1,2,0,2024-01-02 03:06:27,2,159,188,4315,0,0,1,2024,1,2,3,6,27
