ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,Year,Month,Day,Hour,Minute,Second
38201,326,5,4,0,2024-01-01 00:15:40,2,115,22,5632,0,0,5,2024,1,1,0,15,40
27917,37,5,1,0,2024-01-01 21:34:22,3,85,199,14302,0,0,5,2024,1,1,21,34,22
19049,252,2,4,0,2024-01-02 17:38:56,2,155,128,8117,0,0,2,2024,1,2,17,38,56
1207,133,4,2,0,2024-01-02 11:48:30,2,115,161,16457,0,0,4,2024,1,2,11,48,30
71197,375,8,0,1,2024-01-03 03:39:24,3,141,198,16304,0,0,8,2024,1,3,3,39,24
19528,8,3,1,0,2024-01-02 21:29:28,3,71,186,16983,0,0,3,2024,1,2,21,29,28
61008,21,9,1,0,2024-01-01 13:01:00,2,171,190,2654,0,0,9,2024,1,1,13,1,0
52649,372,2,0,0,2024-01-01 05:22:19,3,158,170,18043,0,0,2,2024,1,1,5,22,19
37382,58,8,1,0,2024-01-01 16:04:16,2,100,13,8309,0,0,8,2024,1,1,16,4,16
64608,163,1,2,0,2024-01-02 17:38:18,2,265,84,14247,0,0,1,2024,1,2,17,38,18
63289,53,8,1,0,2024-01-01 12:44:34,2,113,197,3035,0,0,8,2024,1,1,12,44,34
69564,31,8,1,0,2024-01-01 16:45:18,2,75,128,14174,0,1,8,2024,1,1,16,45,18
78232,191,1,2,0,2024-01-01 13:13:30,2,188,25,2001,0,0,1,2024,1,1,13,13,30
20317,396,7,0,0,2024-01-03 16:27:27,2,208,41,2456,0,0,7,2024,1,3,16,27,27
51210,259,3,4,0,2024-01-03 10:55:43,0,195,54,3936,0,0,3,2024,1,3,10,55,43
68258,351,1,0,0,2024-01-02 03:56:50,2,118,14,19048,0,0,1,2024,1,2,3,56,50
48538,336,7,4,0,2024-01-01 10:43:28,2,83,187,9572,0,0,7,2024,1,1,10,43,28
7394,478,3,3,0,2024-01-01 21:55:08,2,259,96,3679,0,0,3,2024,1,1,21,55,8
69040,129,10,2,0,2024-01-03 23:36:08,2,258,55,13221,0,0,10,2024,1,3,23,36,8
80965,410,4,0,1,2024-01-02 17:42:02,2,236,70,10819,0,0,4,2024,1,2,17,42,2
84712,309,1,4,0,2024-01-01 14:01:40,2,289,63,3687,0,0,1,2024,1,1,14,1,40
48329,481,3,3,0,2024-01-02 09:36:56,3,265,133,6846,1,0,8,2024,1,2,9,36,56
72905,300,7,4,0,2024-01-01 00:06:12,2,216,16,9090,0,0,7,2024,1,1,0,6,12
83149,77,8,1,0,2024-01-02 23:19:15,2,223,171,445,0,0,8,2024,1,2,23,19,15
37877,14,8,1,0,2024-01-02 09:10:18,1,154,120,3370,0,0,8,2024,1,2,9,10,18
25158,282,4,4,0,2024-01-03 12:19:48,2,215,87,907,0,0,4,2024,1,3,12,19,48
62731,90,9,1,0,2024-01-02 04:29:00,2,226,193,10546,0,0,9,2024,1,2,4,29,0
5618,309,9,4,0,2024-01-02 11:02:53,2,250,169,7335,0,0,9,2024,1,2,11,2,53
13090,198,2,2,0,2024-01-02 22:48:24,2,107,116,17454,0,0,2,2024,1,2,22,48,24
13251,320,4,4,0,2024-01-03 12:19:34,2,287,66,7418,0,0,4,2024,1,3,12,19,34
