ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,Year,Month,Day,Hour,Minute,Second,Label
7,64,7,2,0,2024-01-01 14:01:37,2,134,131,3094,0,0,7,2024,1,1,14,1,37,0
11,71,4,2,0,2024-01-01 20:55:21,2,249,17,15403,0,0,4,2024,1,1,20,55,21,0
15,103,8,2,0,2024-01-02 16:15:50,3,281,70,2609,0,0,8,2024,1,2,16,15,50,0
17,84,4,2,0,2024-01-03 12:06:06,2,159,161,12339,0,0,4,2024,1,3,12,6,6,0
19,179,5,3,0,2024-01-03 02:29:55,2,160,141,14430,0,0,5,2024,1,3,2,29,55,0
26,193,5,3,0,2024-01-03 00:29:15,3,120,81,8145,0,0,5,2024,1,3,0,29,15,0
30,149,1,4,0,2024-01-02 21:59:48,2,262,97,12290,0,0,1,2024,1,2,21,59,48,0
32,106,5,2,0,2024-01-01 03:30:13,2,253,68,5303,0,0,8,2024,1,1,3,30,13,0
38,87,2,2,0,2024-01-03 03:09:12,3,232,102,10945,0,0,2,2024,1,3,3,9,12,0
42,123,6,2,0,2024-01-03 16:32:58,2,249,35,10355,0,0,6,2024,1,3,16,32,58,0
51,136,6,4,0,2024-01-02 17:20:59,2,263,123,11212,0,0,6,2024,1,2,17,20,59,0
58,190,5,3,0,2024-01-01 10:04:34,2,173,20,3651,0,1,3,2024,1,1,10,4,34,0
78,196,3,3,0,2024-01-03 22:40:16,2,205,124,18966,0,0,3,2024,1,3,22,40,16,0
79,180,7,3,0,2024-01-01 22:47:28,0,269,116,4507,0,0,7,2024,1,1,22,47,28,0
80,65,8,2,0,2024-01-02 17:45:27,2,189,23,19603,0,0,8,2024,1,2,17,45,27,0
81,139,5,4,0,2024-01-03 04:00:07,2,127,45,8776,0,0,5,2024,1,3,4,0,7,0
84,29,5,1,0,2024-01-03 01:37:35,0,225,101,5149,0,0,2,2024,1,3,1,37,35,0
96,151,10,4,0,2024-01-02 01:50:59,1,215,51,554,0,0,10,2024,1,2,1,50,59,0
97,118,3,2,0,2024-01-02 15:51:42,2,143,72,10795,0,0,3,2024,1,2,15,51,42,0
99,6,6,1,0,2024-01-03 21:24:55,2,243,172,12778,0,1,6,2024,1,3,21,24,55,0
102,73,2,2,0,2024-01-01 17:31:33,2,154,26,1624,0,0,2,2024,1,1,17,31,33,1
104,134,3,4,0,2024-01-03 12:25:21,2,177,144,6379,0,0,3,2024,1,3,12,25,21,0
114,142,5,4,0,2024-01-01 04:07:24,2,299,19,15106,0,0,4,2024,1,1,4,7,24,0
115,93,2,2,0,2024-01-02 12:16:02,3,176,118,15947,0,0,2,2024,1,2,12,16,2,0
123,125,5,2,0,2024-01-01 06:26:20,2,227,130,4143,0,0,5,2024,1,1,6,26,20,0
127,44,8,1,0,2024-01-01 06:47:57,2,232,121,5821,0,0,8,2024,1,1,6,47,57,0
132,2,3,1,0,2024-01-02 14:29:28,2,237,90,18431,0,0,3,2024,1,2,14,29,28,0
133,165,5,0,0,2024-01-03 16:43:13,1,193,148,12184,0,1,3,2024,1,3,16,43,13,0
134,1,8,1,0,2024-01-03 04:30:50,2,275,28,2824,0,0,8,2024,1,3,4,30,50,0
136,59,2,2,0,2024-01-02 00:32:42,2,160,35,6541,0,0,2,2024,1,2,0,32,42,0
137,12,8,1,0,2024-01-01 06:39:21,2,280,111,19453,0,0,8,2024,1,1,6,39,21,0
139,130,7,2,0,2024-01-03 12:43:19,1,166,84,9603,0,0,7,2024,1,3,12,43,19,0
140,59,7,2,0,2024-01-03 23:51:12,1,228,134,15347,0,0,7,2024,1,3,23,51,12,0
151,151,9,4,0,2024-01-03 04:15:58,3,264,77,17759,0,0,9,2024,1,3,4,15,58,0
154,13,8,1,0,2024-01-02 17:38:20,2,298,114,9067,0,0,6,2024,1,2,17,38,20,0
157,47,7,1,0,2024-01-03 17:28:57,3,136,139,10922,0,0,7,2024,1,3,17,28,57,0
