ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,Year,Month,Day,Hour,Minute,Second,lstm_anomaly
74122,151,7,4,1,2024-01-01 20:42:59,2,125,61,6395,0,0,7,2024,1,1,20,42,59,False
59941,133,10,4,0,2024-01-01 06:30:31,2,207,170,10075,0,0,10,2024,1,1,6,30,31,False
33712,16,2,1,1,2024-01-03 14:14:21,2,153,15,3591,0,0,2,2024,1,3,14,14,21,False
76004,151,8,4,1,2024-01-01 22:22:35,2,167,79,2091,0,0,8,2024,1,1,22,22,35,False
67578,16,8,1,1,2024-01-03 15:13:11,1,152,149,18585,0,0,5,2024,1,3,15,13,11,False
14080,160,4,4,0,2024-01-02 10:45:17,2,273,2,13691,0,0,4,2024,1,2,10,45,17,False
113399,193,9,3,1,2024-01-01 06:07:18,2,184,62,8510,0,1,9,2024,1,1,6,7,18,False
82556,160,6,4,0,2024-01-02 12:55:47,2,249,120,9199,0,0,6,2024,1,2,12,55,47,False
81507,16,1,1,1,2024-01-02 14:46:04,2,253,60,6958,0,0,1,2024,1,2,14,46,4,False
93173,16,2,1,1,2024-01-01 16:10:37,2,139,72,6390,0,0,2,2024,1,1,16,10,37,False
47397,193,5,3,1,2024-01-02 22:08:33,2,229,74,9981,0,1,5,2024,1,2,22,8,33,False
10792,193,5,3,1,2024-01-01 20:44:02,2,204,4,17592,0,0,9,2024,1,1,20,44,2,False
114924,133,5,4,0,2024-01-02 00:10:21,2,218,162,12686,0,0,2,2024,1,2,0,10,21,False
80817,164,7,0,1,2024-01-02 11:24:56,1,272,26,5878,0,0,7,2024,1,2,11,24,56,False
89569,23,5,1,0,2024-01-01 23:03:02,2,269,41,15415,0,1,2,2024,1,1,23,3,2,True
37491,163,6,0,0,2024-01-02 04:52:10,2,254,67,15558,0,1,6,2024,1,2,4,52,10,True
13736,163,1,0,0,2024-01-03 01:28:16,2,240,171,12152,0,0,1,2024,1,3,1,28,16,True
15536,38,6,1,1,2024-01-01 04:13:55,0,155,124,19053,0,0,6,2024,1,1,4,13,55,False
1682,160,7,4,0,2024-01-01 15:00:02,1,229,22,19776,0,0,7,2024,1,1,15,0,2,False
94039,16,10,1,1,2024-01-02 10:04:43,2,284,7,13964,0,0,10,2024,1,2,10,4,43,False
32744,160,6,4,0,2024-01-01 17:10:36,2,256,122,16536,0,0,6,2024,1,1,17,10,36,False
27834,84,7,2,0,2024-01-01 11:42:24,2,229,11,15225,0,0,7,2024,1,1,11,42,24,False
106660,95,8,2,0,2024-01-02 10:30:03,2,293,160,2661,0,0,8,2024,1,2,10,30,3,False
627,66,2,2,0,2024-01-03 06:46:15,2,207,46,12229,0,0,2,2024,1,3,6,46,15,False
93220,164,5,0,1,2024-01-03 12:42:28,2,281,119,2219,0,0,5,2024,1,3,12,42,28,False
15751,66,3,2,0,2024-01-01 05:52:25,1,181,130,13077,0,0,3,2024,1,1,5,52,25,False
65873,151,1,4,1,2024-01-01 20:33:10,2,295,140,19967,0,0,1,2024,1,1,20,33,10,False
79144,160,8,4,0,2024-01-01 17:06:32,3,292,188,14339,0,0,8,2024,1,1,17,6,32,False
67095,138,7,4,0,2024-01-02 03:47:23,2,224,124,4808,0,0,7,2024,1,2,3,47,23,False
116835,193,2,3,1,2024-01-03 23:44:53,2,198,58,2140,0,0,2,2024,1,3,23,44,53,True
93237,164,4,0,1,2024-01-02 10:39:17,2,296,125,9892,0,1,4,2024,1,2,10,39,17,True
92291,138,5,4,0,2024-01-02 03:35:14,2,236,134,19504,0,0,7,2024,1,2,3,35,14,True
92809,160,3,4,0,2024-01-01 10:58:06,2,154,3,6234,0,0,3,2024,1,1,10,58,6,True
50216,164,7,0,1,2024-01-03 12:45:44,2,231,108,17510,0,0,7,2024,1,3,12,45,44,False
85988,133,10,4,0,2024-01-01 06:31:50,2,232,15,1806,0,0,10,2024,1,1,6,31,50,False
41698,16,1,1,1,2024-01-03 17:12:46,1,246,39,12909,0,1,1,2024,1,3,17,12,46,False
100024,160,5,4,0,2024-01-01 15:36:43,1,134,73,10155,0,0,5,2024,1,1,15,36,43,False
117374,138,2,4,0,2024-01-02 02:03:29,2,188,159,13714,0,0,2,2024,1,2,2,3,29,False
7593,164,2,0,1,2024-01-02 14:06:24,2,252,10,12820,0,0,2,2024,1,2,14,6,24,False
103039,151,6,4,1,2024-01-03 01:11:30,2,192,199,11860,0,0,6,2024,1,3,1,11,30,False
59753,66,5,2,0,2024-01-02 00:21:31,2,219,83,14248,0,0,5,2024,1,2,0,21,31,False
69841,193,5,3,1,2024-01-03 22:18:10,2,276,153,11635,0,0,5,2024,1,3,22,18,10,False
30831,160,3,4,0,2024-01-03 12:23:20,2,191,90,16119,0,0,3,2024,1,3,12,23,20,False
62879,38,3,1,1,2024-01-02 11:21:07,3,274,14,1739,0,0,3,2024,1,2,11,21,7,False
118419,133,9,4,0,2024-01-01 00:38:43,0,196,112,10719,0,0,9,2024,1,1,0,38,43,True
42599,111,2,2,0,2024-01-02 09:07:45,1,181,171,7604,0,0,2,2024,1,2,9,7,45,True
114132,193,3,3,1,2024-01-02 00:32:27,1,258,65,15381,0,0,3,2024,1,2,0,32,27,True
6178,84,10,2,0,2024-01-01 17:10:10,2,239,152,11972,0,0,10,2024,1,1,17,10,10,False
38702,84,8,2,0,2024-01-02 10:41:46,2,121,38,19291,0,0,10,2024,1,2,10,41,46,False
50575,193,3,3,1,2024-01-03 22:26:11,3,174,139,18661,0,1,3,2024,1,3,22,26,11,True
98364,151,10,4,1,2024-01-02 05:05:25,3,223,166,14174,0,0,10,2024,1,2,5,5,25,True
12755,138,10,4,0,2024-01-02 03:47:23,2,172,66,17321,0,0,10,2024,1,2,3,47,23,True
14561,163,3,0,0,2024-01-01 05:43:42,3,146,9,2670,0,0,3,2024,1,1,5,43,42,False
35467,151,5,4,1,2024-01-03 05:55:46,2,248,67,18686,0,0,8,2024,1,3,5,55,46,False
106072,16,7,1,1,2024-01-02 15:35:09,1,149,14,7665,0,0,7,2024,1,2,15,35,9,False
110839,151,8,4,1,2024-01-03 20:54:07,3,205,189,9797,0,0,5,2024,1,3,20,54,7,False
47837,45,2,1,0,2024-01-01 04:13:55,2,256,10,19053,0,0,2,2024,1,1,4,13,55,False
4220,111,4,2,0,2024-01-02 16:42:54,2,168,37,16572,0,0,4,2024,1,2,16,42,54,False
74713,38,6,1,1,2024-01-03 17:48:09,2,196,192,15896,0,0,6,2024,1,3,17,48,9,False
61897,133,4,4,0,2024-01-03 21:02:41,2,264,55,4781,0,0,4,2024,1,3,21,2,41,False
18568,66,9,2,0,2024-01-02 03:18:15,2,261,163,10120,0,0,9,2024,1,2,3,18,15,True
69478,84,7,2,0,2024-01-03 17:01:34,0,163,112,1162,0,0,7,2024,1,3,17,1,34,True
64062,133,5,4,0,2024-01-02 04:33:38,1,221,67,18583,0,0,5,2024,1,2,4,33,38,False
59634,147,5,4,0,2024-01-01 17:37:27,2,295,91,6190,0,0,9,2024,1,1,17,37,27,False
19224,38,2,1,1,2024-01-01 12:17:06,2,207,40,6439,0,0,2,2024,1,1,12,17,6,False
82391,164,8,0,1,2024-01-01 10:35:38,2,146,55,6409,0,0,1,2024,1,1,10,35,38,False
77520,133,8,4,0,2024-01-03 01:09:32,2,280,118,19746,0,0,8,2024,1,3,1,9,32,False
3149,133,5,4,0,2024-01-01 20:12:06,2,273,158,6923,0,0,7,2024,1,1,20,12,6,False
15402,111,7,2,0,2024-01-01 17:19:00,3,295,132,2789,0,0,7,2024,1,1,17,19,0,False
63976,138,2,4,0,2024-01-02 03:47:23,2,255,136,104,0,0,2,2024,1,2,3,47,23,False
73942,163,5,0,0,2024-01-03 20:08:39,2,224,95,10774,0,0,3,2024,1,3,20,8,39,False
103649,16,8,1,1,2024-01-01 10:25:13,2,150,118,125,0,0,2,2024,1,1,10,25,13,False
54531,151,2,4,1,2024-01-03 02:12:01,2,126,84,5486,0,0,2,2024,1,3,2,12,1,False
110911,23,6,1,0,2024-01-03 00:30:17,2,126,186,9067,0,0,6,2024,1,3,0,30,17,False
67796,38,10,1,1,2024-01-01 04:13:55,2,217,160,19053,0,0,10,2024,1,1,4,13,55,False
80906,66,8,2,0,2024-01-03 00:14:34,3,139,170,17057,0,0,8,2024,1,3,0,14,34,False
114467,111,4,2,0,2024-01-03 17:53:50,2,234,98,16224,0,0,4,2024,1,3,17,53,50,False
106783,160,7,4,0,2024-01-01 12:39:46,2,253,11,5843,0,0,7,2024,1,1,12,39,46,False
44081,147,1,4,0,2024-01-03 13:40:19,2,262,7,6758,0,0,1,2024,1,3,13,40,19,False
101573,164,2,0,1,2024-01-02 17:58:24,2,197,195,3044,0,0,2,2024,1,2,17,58,24,False
99060,133,5,4,0,2024-01-01 23:45:01,2,204,17,16269,0,0,9,2024,1,1,23,45,1,False
55214,133,8,4,0,2024-01-02 00:22:27,2,215,32,4685,0,0,8,2024,1,2,0,22,27,False
33002,164,6,0,1,2024-01-02 11:44:02,2,223,50,18781,0,0,6,2024,1,2,11,44,2,False
94416,23,8,1,0,2024-01-02 05:26:37,3,231,70,17425,1,0,8,2024,1,2,5,26,37,True
111547,193,5,3,1,2024-01-01 03:07:32,2,125,153,12737,0,1,5,2024,1,1,3,7,32,True
33957,193,5,3,1,2024-01-03 06:59:16,1,292,97,14181,0,0,6,2024,1,3,6,59,16,False
67170,84,4,2,0,2024-01-03 12:46:37,1,123,124,10962,0,0,4,2024,1,3,12,46,37,False
