ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment,source,Year,Month,Day,Hour,Minute,Second
15154,123,7,2,0,2024-01-01 11:54:51+00:00,2,181,27,,0,0,7,cv,2024,1,1,11,54,51
43529,7,9,1,0,2024-01-02 15:46:03+00:00,2,206,178,,0,0,9,cv,2024,1,2,15,46,3
50829,59,8,2,1,2024-01-01 03:39:52+00:00,2,148,82,,0,0,8,cv,2024,1,1,3,39,52
82585,122,7,2,0,2024-01-01 13:11:55+00:00,2,263,74,,0,0,7,cv,2024,1,1,13,11,55
15600,131,2,4,0,2024-01-02 11:21:45+00:00,2,214,24,,0,0,2,cv,2024,1,2,11,21,45
117100,112,5,2,0,2024-01-01 15:50:45+00:00,2,228,135,,0,0,5,cv,2024,1,1,15,50,45
32252,63,8,2,0,2024-01-02 02:56:41+00:00,3,276,25,,0,0,8,cv,2024,1,2,2,56,41
74089,121,8,2,0,2024-01-02 16:33:10+00:00,2,150,13,,0,0,1,cv,2024,1,2,16,33,10
75601,50,2,1,0,2024-01-01 16:40:33+00:00,2,269,131,,0,1,2,cv,2024,1,1,16,40,33
34796,173,9,3,0,2024-01-03 09:22:54+00:00,2,217,160,,0,0,9,cv,2024,1,3,9,22,54
17855,42,1,1,0,2024-01-01 09:04:24+00:00,2,210,33,,0,0,1,cv,2024,1,1,9,4,24
2645,42,5,1,0,2024-01-01 12:18:17+00:00,2,186,152,,0,0,9,cv,2024,1,1,12,18,17
74122,151,7,4,1,2024-01-01 20:42:59+00:00,2,125,61,,0,0,7,cv,2024,1,1,20,42,59
3824,155,5,4,0,2024-01-02 20:58:51+00:00,2,238,2,,0,0,5,cv,2024,1,2,20,58,51
59941,133,10,4,0,2024-01-01 06:30:31+00:00,2,207,170,,0,0,10,cv,2024,1,1,6,30,31
6836,57,6,2,0,2024-01-02 16:00:22+00:00,2,175,93,,0,0,6,cv,2024,1,2,16,0,22
4507,17,6,1,0,2024-01-01 06:52:12+00:00,2,252,48,,0,0,6,cv,2024,1,1,6,52,12
51749,68,2,2,0,2024-01-01 17:37:10+00:00,2,240,181,,0,0,2,cv,2024,1,1,17,37,10
30939,12,8,1,0,2024-01-02 06:07:39+00:00,2,168,65,,0,0,4,cv,2024,1,2,6,7,39
46804,71,1,2,0,2024-01-03 05:56:54+00:00,2,280,193,,0,0,1,cv,2024,1,3,5,56,54
20383,18,8,1,0,2024-01-03 02:51:29+00:00,1,248,177,,0,0,5,cv,2024,1,3,2,51,29
49347,198,1,3,0,2024-01-02 15:28:06+00:00,2,274,70,,0,0,1,cv,2024,1,2,15,28,6
72940,8,8,1,0,2024-01-01 03:39:06+00:00,2,203,196,,0,0,8,cv,2024,1,1,3,39,6
78950,17,4,1,0,2024-01-03 21:09:33+00:00,2,227,115,,0,1,4,cv,2024,1,3,21,9,33
75646,94,9,2,0,2024-01-03 17:03:13+00:00,0,212,148,,0,0,9,cv,2024,1,3,17,3,13
1301,37,6,1,0,2024-01-02 10:57:06+00:00,2,136,185,,0,1,6,cv,2024,1,2,10,57,6
43382,89,7,2,0,2024-01-03 06:58:46+00:00,2,299,3,,0,0,7,cv,2024,1,3,6,58,46
5050,31,7,1,0,2024-01-02 21:12:58+00:00,2,266,111,,0,0,7,cv,2024,1,2,21,12,58
93853,145,8,4,0,2024-01-01 02:03:33+00:00,2,141,141,,0,0,5,cv,2024,1,1,2,3,33
18177,20,10,1,0,2024-01-01 21:51:10+00:00,2,151,83,,0,1,10,cv,2024,1,1,21,51,10
104788,25,5,1,0,2024-01-01 06:52:24+00:00,2,299,82,,0,1,5,cv,2024,1,1,6,52,24
113537,5,6,1,0,2024-01-03 14:03:09+00:00,2,229,154,,0,1,6,cv,2024,1,3,14,3,9
5613,88,4,2,0,2024-01-01 15:21:36+00:00,2,167,160,,0,0,4,cv,2024,1,1,15,21,36
33712,16,2,1,1,2024-01-03 14:14:21+00:00,2,153,15,,0,0,2,cv,2024,1,3,14,14,21
8601,48,8,1,0,2024-01-01 16:23:15+00:00,2,282,187,,0,0,6,cv,2024,1,1,16,23,15
59629,180,10,3,0,2024-01-01 05:11:34+00:00,1,192,119,,0,0,10,cv,2024,1,1,5,11,34
588,62,6,2,0,2024-01-03 01:38:30+00:00,2,188,161,,0,0,6,cv,2024,1,3,1,38,30
86720,157,5,4,0,2024-01-02 15:24:32+00:00,2,230,63,,0,0,5,cv,2024,1,2,15,24,32
23159,134,5,4,1,2024-01-03 14:04:56+00:00,2,259,13,,0,0,9,cv,2024,1,3,14,4,56
13924,175,8,3,0,2024-01-02 02:36:16+00:00,3,178,53,,0,0,8,cv,2024,1,2,2,36,16
16607,139,2,4,0,2024-01-01 04:37:29+00:00,2,174,56,,0,0,2,cv,2024,1,1,4,37,29
20270,87,1,2,0,2024-01-01 03:10:58+00:00,2,163,19,,0,0,1,cv,2024,1,1,3,10,58
69908,55,5,2,0,2024-01-02 11:39:07+00:00,2,222,182,,0,0,5,cv,2024,1,2,11,39,7
88660,112,4,2,0,2024-01-02 15:56:26+00:00,0,198,183,,0,0,4,cv,2024,1,2,15,56,26
106351,118,6,2,1,2024-01-02 10:14:43+00:00,3,187,68,,0,0,6,cv,2024,1,2,10,14,43
84057,126,6,2,1,2024-01-02 03:49:05+00:00,2,296,118,,0,0,6,cv,2024,1,2,3,49,5
61524,117,9,2,0,2024-01-03 12:00:47+00:00,2,242,74,,0,0,9,cv,2024,1,3,12,0,47
18173,77,2,2,0,2024-01-03 15:13:22+00:00,2,175,167,,0,0,2,cv,2024,1,3,15,13,22
13435,179,3,3,0,2024-01-02 02:02:18+00:00,2,206,190,,0,0,3,cv,2024,1,2,2,2,18
50958,21,8,1,0,2024-01-02 03:53:02+00:00,2,182,47,,0,0,4,cv,2024,1,2,3,53,2
115132,71,8,2,0,2024-01-03 06:17:46+00:00,3,163,88,,0,0,7,cv,2024,1,3,6,17,46
63496,112,2,2,0,2024-01-03 11:50:44+00:00,2,177,178,,0,0,2,cv,2024,1,3,11,50,44
45128,145,2,4,0,2024-01-01 04:18:16+00:00,2,258,55,,0,0,2,cv,2024,1,1,4,18,16
94799,22,1,1,0,2024-01-01 12:56:26+00:00,2,233,177,,0,0,1,cv,2024,1,1,12,56,26
67659,92,9,2,0,2024-01-02 17:49:55+00:00,2,225,37,,0,0,9,cv,2024,1,2,17,49,55
55518,144,5,4,0,2024-01-01 15:07:48+00:00,2,127,26,,0,0,6,cv,2024,1,1,15,7,48
66839,123,1,2,0,2024-01-02 16:07:24+00:00,2,226,106,,0,0,1,cv,2024,1,2,16,7,24
50991,154,3,4,0,2024-01-01 05:12:34+00:00,2,208,131,,0,0,3,cv,2024,1,1,5,12,34
1825,89,3,2,0,2024-01-01 05:44:56+00:00,2,201,134,,0,0,3,cv,2024,1,1,5,44,56
37323,51,9,2,0,2024-01-02 04:21:01+00:00,2,177,184,,0,0,9,cv,2024,1,2,4,21,1
62272,185,8,3,0,2024-01-02 03:05:19+00:00,2,260,136,,0,0,8,cv,2024,1,2,3,5,19
77038,35,1,1,0,2024-01-02 17:48:24+00:00,0,153,113,,0,0,1,cv,2024,1,2,17,48,24
99964,155,7,4,0,2024-01-03 20:19:24+00:00,2,270,180,,0,0,7,cv,2024,1,3,20,19,24
27628,75,1,2,0,2024-01-03 16:32:21+00:00,2,229,24,,0,0,1,cv,2024,1,3,16,32,21
64543,58,9,2,0,2024-01-02 21:00:06+00:00,0,130,108,,0,0,9,cv,2024,1,2,21,0,6
76004,151,8,4,1,2024-01-01 22:22:35+00:00,2,167,79,,0,0,8,cv,2024,1,1,22,22,35
53679,119,2,2,0,2024-01-01 00:16:24+00:00,2,164,163,,0,0,2,cv,2024,1,1,0,16,24
46811,135,1,4,0,2024-01-03 23:35:26+00:00,3,279,35,,0,0,1,cv,2024,1,3,23,35,26
63491,91,8,2,0,2024-01-01 09:02:22+00:00,2,150,117,,0,0,7,cv,2024,1,1,9,2,22
30162,125,9,2,0,2024-01-01 05:01:22+00:00,3,127,91,,0,0,9,cv,2024,1,1,5,1,22
10657,109,7,2,0,2024-01-03 14:04:02+00:00,2,153,67,,0,0,7,cv,2024,1,3,14,4,2
52761,40,8,1,0,2024-01-03 06:37:38+00:00,0,251,140,,0,1,8,cv,2024,1,3,6,37,38
15894,32,7,1,0,2024-01-03 01:36:41+00:00,2,223,113,,0,0,7,cv,2024,1,3,1,36,41
63549,192,2,3,0,2024-01-03 09:54:23+00:00,2,229,122,,0,1,2,cv,2024,1,3,9,54,23
76926,48,8,1,0,2024-01-02 15:05:13+00:00,2,134,144,,0,1,8,cv,2024,1,2,15,5,13
67578,16,8,1,1,2024-01-03 15:13:11+00:00,1,152,149,,0,0,5,cv,2024,1,3,15,13,11
67288,91,5,2,0,2024-01-01 11:22:49+00:00,1,277,195,,0,0,5,cv,2024,1,1,11,22,49
73412,143,8,4,0,2024-01-02 20:38:32+00:00,2,280,157,,0,0,10,cv,2024,1,2,20,38,32
72566,60,8,2,0,2024-01-01 21:55:00+00:00,3,155,12,,0,0,8,cv,2024,1,1,21,55,0
69339,75,10,2,0,2024-01-03 11:25:36+00:00,1,293,21,,0,0,10,cv,2024,1,3,11,25,36
5059,146,9,4,0,2024-01-03 23:02:37+00:00,2,161,84,,0,0,9,cv,2024,1,3,23,2,37
36528,53,2,2,0,2024-01-01 23:15:50+00:00,2,138,113,,0,0,2,cv,2024,1,1,23,15,50
89751,7,5,1,0,2024-01-02 11:29:33+00:00,3,180,143,,0,0,8,cv,2024,1,2,11,29,33
19988,175,6,3,0,2024-01-01 05:02:23+00:00,3,250,173,,0,0,6,cv,2024,1,1,5,2,23
108073,48,9,1,0,2024-01-03 13:09:15+00:00,3,175,89,,0,0,9,cv,2024,1,3,13,9,15
108604,63,1,2,0,2024-01-01 20:30:23+00:00,2,235,135,,0,0,1,cv,2024,1,1,20,30,23
114800,157,10,4,0,2024-01-01 11:43:56+00:00,1,188,16,,0,0,10,cv,2024,1,1,11,43,56
55966,102,4,2,0,2024-01-01 04:28:29+00:00,2,171,135,,0,0,4,cv,2024,1,1,4,28,29
7857,40,5,1,0,2024-01-01 22:27:36+00:00,2,189,95,,0,0,5,cv,2024,1,1,22,27,36
3023,119,3,2,0,2024-01-03 03:47:41+00:00,2,297,47,,0,0,3,cv,2024,1,3,3,47,41
33692,197,4,3,0,2024-01-02 11:45:32+00:00,0,170,146,,1,0,4,cv,2024,1,2,11,45,32
14080,160,4,4,0,2024-01-02 10:45:17+00:00,2,273,2,,0,0,4,cv,2024,1,2,10,45,17
82966,156,5,4,0,2024-01-02 13:45:39+00:00,3,286,54,,0,0,6,cv,2024,1,2,13,45,39
65301,183,2,3,0,2024-01-03 10:52:42+00:00,2,223,67,,0,0,2,cv,2024,1,3,10,52,42
97608,12,8,1,0,2024-01-03 01:35:25+00:00,2,298,181,,0,1,8,cv,2024,1,3,1,35,25
22478,18,2,1,0,2024-01-02 03:27:44+00:00,2,183,61,,0,0,2,cv,2024,1,2,3,27,44
114016,97,8,2,0,2024-01-03 09:33:15+00:00,1,164,131,,0,0,1,cv,2024,1,3,9,33,15
113399,193,9,3,1,2024-01-01 06:07:18+00:00,2,184,62,,0,1,9,cv,2024,1,1,6,7,18
75504,142,7,4,0,2024-01-02 01:26:28+00:00,2,142,120,,0,0,7,cv,2024,1,2,1,26,28
45638,189,10,3,0,2024-01-03 11:22:51+00:00,3,183,55,,1,0,10,cv,2024,1,3,11,22,51
6044,29,2,1,0,2024-01-02 01:28:19+00:00,1,252,190,,0,0,2,cv,2024,1,2,1,28,19
104074,155,2,4,0,2024-01-02 21:18:30+00:00,1,291,31,,0,0,2,cv,2024,1,2,21,18,30
43159,146,8,4,0,2024-01-03 21:23:51+00:00,2,166,72,,0,0,5,cv,2024,1,3,21,23,51
48142,69,1,2,0,2024-01-03 03:07:17+00:00,2,125,66,,0,0,1,cv,2024,1,3,3,7,17
82556,160,6,4,0,2024-01-02 12:55:47+00:00,2,249,120,,0,0,6,cv,2024,1,2,12,55,47
81507,16,1,1,1,2024-01-02 14:46:04+00:00,2,253,60,,0,0,1,cv,2024,1,2,14,46,4
118886,96,8,2,0,2024-01-02 00:15:54+00:00,1,149,194,,0,0,5,cv,2024,1,2,0,15,54
83923,105,10,2,1,2024-01-03 02:51:07+00:00,2,267,91,,0,0,10,cv,2024,1,3,2,51,7
23411,179,9,3,0,2024-01-01 04:23:44+00:00,2,256,169,,0,0,9,cv,2024,1,1,4,23,44
104554,13,8,1,0,2024-01-02 16:43:27+00:00,1,227,167,,0,0,1,cv,2024,1,2,16,43,27
59893,131,6,4,0,2024-01-03 14:20:23+00:00,3,230,30,,1,0,6,cv,2024,1,3,14,20,23
46815,87,3,2,0,2024-01-03 04:23:47+00:00,2,267,146,,0,0,3,cv,2024,1,3,4,23,47
57263,52,8,2,0,2024-01-01 22:56:16+00:00,2,155,28,,0,0,5,cv,2024,1,1,22,56,16
